5000	5	3.12
5000	7	2.62
5000	7	-1.12
100	6	0.25
100	24576	24576.00
100	362	322.50
100	3	-3.00
100	362	329.25
100	132	128.00
1000	132	127.12
1000	7	3.25
100	7	4.88
100	7	2.62
100	135	131.88
100	7	3.75
100	7	3.62
100	7	5.00
100	135	132.25
100	135	129.38
100	7	5.50
1000	7	6.00
5000	7	4.88
10000	7	7.00
10000	12	5.43
5000	12	5.71
1000	12	7.86
100	-6	-26.57
100	-2	-12.00
100	5	-10.43
100	-6	-14.57
100	460	441.14
100	-8	-21.43
100	-2	-19.71
100	-16	-53.88
1000	5	-1.44
5000	5	-1.56
10000	5	-1.06
10000	17	3.93
5000	17	2.14
1000	17	3.14
100	-230	-298.29
100	-188	-298.29
100	-1304	-1508.40
100	-1288	-1511.47
100	2378	2343.80
10000	3055	2944.40
10000	-2	-7.07
5000	34	-0.07
1000	-28	-51.47
100	-1246	-1483.60
100	-1164	-1506.40
100	7	4.00
100	7	6.25
100	-1160	-1478.53
100	-390	-412.50
100	15	5.62
100	2137	2038.13
100	15	11.25
100	0	3.75
100	0	5.38
100	0	5.62
100	-420	-401.75
100	0	5.62
100	0	5.38
100	0	9.12
100	-420	-412.50
100	-14	-14.00
100	0	0.00
100	0	0.00
100	0	0.00
100	0	0.00
100	0	0.00
100	0	0.00
100	1960	2042.73
100	0	0.00
100	0	0.00
100	0	0.00
100	0	0.00
100	3	3.00
100	3	3.00
100	3	3.00
100	100	100.00
100	3	3.00
100	2	2.13
100	2	2.20
100	2	2.00
100	10	10.00
100	5	5.00
100	5	5.87
100	5	5.00
100	20	19.77
100	34	22.23
100	34	21.67
1	63	59.03
100	42	21.77
1000	74	57.37
5000	85	77.13
10000	87	80.50
100	39	28.37
100	42	29.27
1000	72	58.50
5000	76	68.60
10000	79	70.40
100	106	104.03
1000	112	108.87
5000	112	111.87
10000	112	112.00
100	15	14.00
1000	15	15.00
5000	15	15.00
10000	15	15.00
100	20	19.10
100	15	13.83
1000	15	15.00
5000	15	15.00
10000	15	15.00
100	20	19.17
1000	20	19.97
5000	20	20.00
10000	20	20.00
